"BRIN.NUMMER";"PROVINCIE.x";"BEVOEGD.GEZAG.NUMMER";"INSTELLINGSNAAM";"STRAATNAAM";"HUISNUMMER.TOEVOEGING";"POSTCODE";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM.x";"DENOMINATIE";"TELEFOONNUMMER";"INTERNETADRES";"STRAATNAAM.CORRESPONDENTIEADRES";"HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES";"POSTCODE.CORRESPONDENTIEADRES";"PLAATSNAAM.CORRESPONDENTIEADRES";"NODAAL.GEBIED.CODE";"NODAAL.GEBIED.NAAM";"RPA.GEBIED.CODE";"RPA.GEBIED.NAAM";"WGR.GEBIED.CODE";"WGR.GEBIED.NAAM";"COROPGEBIED.CODE";"COROPGEBIED.NAAM";"ONDERWIJSGEBIED.CODE";"ONDERWIJSGEBIED.NAAM";"RMC.REGIO.CODE";"RMC.REGIO.NAAM";"VESTIGINGSNUMMER";"NAAM_INSTELLING";"GEMEENTENAAM.y";"PROVINCIE.y";"SWV";"BEVOEGD_GEZAG_NUMMER";"TOTAAL";"TOTAAL_JONGER_8";"TOTAAL_8_EO";"TOTAAL_GEW00";"TOTAAL_GEW03";"TOTAAL_GEW12";"TOTAAL_NOAT";"TOTAAL_BEKOSTIGD";"BEK_JONGER_8";"BEK_8_EO";"BEK_GEW00";"BEK_GEW03";"BEK_GEW12";"BEK_NOAT";"TOTAAL_NIET_BEKOSTIGD";"NIETBEK_JONGER_8";"NIETBEK_8_EO";"NIETBEK_GEW00";"NIETBEK_GEW03";"NIETBEK_GEW12";"NIETBEK_NOAT";"lat";"lon";"NOATPCT";"DESC"
"11";"07AD";"Noord-Holland";78457;"Stichting Joodse Kindergemeenschap Cheider";"Zeelandstraat";"11";"1082 BV";"AMSTERDAM";363;"AMSTERDAM";"Joods";206465564;"                                                                                ";"Postbus";"7828";"1008 AA";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Stg Joodse Kindergem Cheider";"AMSTERDAM";"Noord-Holland";"PO2707";78457;67;33;34;60;6;1;18;67;33;34;60;6;1;18;0;0;0;0;0;0;0;52.3268086;4.879022;26.865671641791;"br />  <br /> 67 <br /> 26.865671641791"
"12";"07HQ";"Noord-Holland";20905;"Basisschool Instituut Schreuder";"Van de Veldestraat";"10";"1071 CW";"AMSTERDAM";363;"AMSTERDAM";"Protestants-Christelijk";206795827;"                                                                                ";"Van de Veldestraat";"10";"1071 CW";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Basissch Inst Schreuder";"AMSTERDAM";"Noord-Holland";"PO2707";20905;197;83;114;172;20;5;21;197;83;114;172;20;5;21;0;0;0;0;0;0;0;52.3589615;4.8798723;10.6598984771574;"br />  <br /> 197 <br /> 10.6598984771574"
"13";"07JH";"Noord-Holland";41023;"Admiraal De Ruyterschool";"Bestevaerstraat";"42-44";"1056 HP";"AMSTERDAM";363;"AMSTERDAM";"Protestants-Christelijk";206182180;"www.admiraalderuyterschool.nl";"Bestevaerstraat";"42-44";"1056 HP";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Admiraal De Ruyterschool";"AMSTERDAM";"Noord-Holland";"PO2707";41023;217;123;94;203;5;9;93;217;123;94;203;5;9;93;0;0;0;0;0;0;0;52.3739551;4.860117;42.8571428571429;"br />  <br /> 217 <br /> 42.8571428571429"
"14";"07JK";"Noord-Holland";28614;"Eerste Openluchtschool voor het Gezonde Kind";"Cliostraat";"40";"1077 KJ";"AMSTERDAM";363;"AMSTERDAM";"Algemeen bijzonder";206799012;"www.openluchtschool1.nl";"Cliostraat";"40";"1077 KJ";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Eerste Openluchtschool";"AMSTERDAM";"Noord-Holland";"PO2707";28614;237;118;119;237;0;0;6;237;118;119;237;0;0;6;0;0;0;0;0;0;0;52.3479459;4.8744065;2.53164556962025;"br />  <br /> 237 <br /> 2.53164556962025"
"15";"07RC";"Noord-Holland";58826;"Peetersschool";"Richard Holstraat";"8";"1071 SM";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";206625997;"www.peetersschool.nl";"Richard Holstraat";"8";"1071 SM";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Peetersschool";"AMSTERDAM";"Noord-Holland";"PO2707";58826;231;117;114;231;0;0;6;231;117;114;231;0;0;6;0;0;0;0;0;0;0;52.352148;4.8776017;2.5974025974026;"br />  <br /> 231 <br /> 2.5974025974026"
"16";"07TJ";"Noord-Holland";27770;"Brede school Fiep Westendorp";"Overschiestraat";"168";"1062 XK";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";204080513;"www.bsfiepwestendorp.nl";"Overschiestraat";"168";"1062 XK";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";2;"Brede school Fiep Westendorp";"AMSTERDAM";"Noord-Holland";"PO2707";27770;251;106;145;200;17;34;166;251;106;145;200;17;34;166;0;0;0;0;0;0;0;52.3492679;4.8385066;66.1354581673307;"br />  <br /> 251 <br /> 66.1354581673307"
"17";"07TJ";"Noord-Holland";27770;"Brede school Fiep Westendorp";"Overschiestraat";"168";"1062 XK";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";204080513;"www.bsfiepwestendorp.nl";"Overschiestraat";"168";"1062 XK";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Brede school Fiep Westendorp";"AMSTERDAM";"Noord-Holland";"PO2707";27770;326;206;120;275;14;37;202;326;206;120;275;14;37;202;0;0;0;0;0;0;0;52.3492679;4.8385066;61.9631901840491;"br />  <br /> 326 <br /> 61.9631901840491"
"18";"07TK";"Noord-Holland";41023;"Basisschool De Bienkorf";"Mariendaal";"11";"1025 BT";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";206367067;"www.bienkorf.nl";"Mariendaal";"11";"1025 BT";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Basisschool De Bienkorf";"AMSTERDAM";"Noord-Holland";"PO2707";41023;346;190;156;324;5;17;111;346;190;156;324;5;17;111;0;0;0;0;0;0;0;52.4021262;4.9416228;32.0809248554913;"br />  <br /> 346 <br /> 32.0809248554913"
"19";"07XC";"Noord-Holland";81810;"Hildebrand van Loonschool";"Hondecoeterstraat";"6";"1071 LR";"AMSTERDAM";363;"AMSTERDAM";"Protestants-Christelijk";206760625;"                                                                                ";"Hondecoeterstraat";"6";"1071 LR";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Hildebrand v Loonschool";"AMSTERDAM";"Noord-Holland";"PO2707";81810;234;121;113;234;0;0;1;234;121;113;234;0;0;1;0;0;0;0;0;0;0;52.3546383;4.877764;0.427350427350427;"br />  <br /> 234 <br /> 0.427350427350427"
"20";"08CA";"Noord-Holland";40586;"Watergraafsmeerse Schoolvereniging";"Copernicusstraat";"38-40";"1098 JH";"AMSTERDAM";363;"AMSTERDAM";"Algemeen bijzonder";206947481;"                                                                                ";"Postbus";"95028";"1090 HA";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Watergraafsmeerse Sch";"AMSTERDAM";"Noord-Holland";"PO2707";40586;436;222;214;436;0;0;64;436;222;214;436;0;0;64;0;0;0;0;0;0;0;52.3545654;4.9374033;14.6788990825688;"br />  <br /> 436 <br /> 14.6788990825688"
